Inches,CPU_Frequency (GHz),RAM (GB),Memory Capacity,Weight (kg),Resolution_Width,Resolution_Height,Contains_HD,Contains_IPS,Contains_Touchscreen,Contains_4K,Contains_Quad_HD_plus,Intel_Series,AMD_Series,Samsung_Series,Intel_Family,AMD_Family,Samsung_Family,Intel_Generation,AMD_Generation,Samsung_Generation,GPU_Family,GPU_Series,Performance_Tier,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,CPU_Company_Intel,CPU_Company_Samsung,GPU_Company_ARM,GPU_Company_Intel,GPU_Company_Nvidia,OpSys_Chrome OS,OpSys_Linux,OpSys_Mac OS X,OpSys_No OS,OpSys_Windows 10,OpSys_Windows 10 S,OpSys_Windows 7,OpSys_macOS,GPU_Type_FirePro W5130M,GPU_Type_FirePro W6150M,GPU_Type_GTX 980 SLI,GPU_Type_GeForce 150MX,GPU_Type_GeForce 920,GPU_Type_GeForce 920M,GPU_Type_GeForce 920MX,GPU_Type_GeForce 930M,GPU_Type_GeForce 930MX,GPU_Type_GeForce 940M,GPU_Type_GeForce 940MX,GPU_Type_GeForce 960M,GPU_Type_GeForce GT 940MX,GPU_Type_GeForce GTX 1050,GPU_Type_GeForce GTX 1050 Ti,GPU_Type_GeForce GTX 1050M,GPU_Type_GeForce GTX 1050Ti,GPU_Type_GeForce GTX 1060,GPU_Type_GeForce GTX 1070,GPU_Type_GeForce GTX 1070M,GPU_Type_GeForce GTX 1080,GPU_Type_GeForce GTX 930MX,GPU_Type_GeForce GTX 940M,GPU_Type_GeForce GTX 940MX,GPU_Type_GeForce GTX 950M,GPU_Type_GeForce GTX 960,GPU_Type_GeForce GTX 960<U+039C>,GPU_Type_GeForce GTX 960M,GPU_Type_GeForce GTX 965M,GPU_Type_GeForce GTX 970M,GPU_Type_GeForce GTX 980,GPU_Type_GeForce GTX 980M,GPU_Type_GeForce GTX1050 Ti,GPU_Type_GeForce GTX1060,GPU_Type_GeForce GTX1080,GPU_Type_GeForce MX130,GPU_Type_GeForce MX150,GPU_Type_Graphics 620,GPU_Type_HD Graphics,GPU_Type_HD Graphics 400,GPU_Type_HD Graphics 405,GPU_Type_HD Graphics 500,GPU_Type_HD Graphics 505,GPU_Type_HD Graphics 510,GPU_Type_HD Graphics 515,GPU_Type_HD Graphics 520,GPU_Type_HD Graphics 530,GPU_Type_HD Graphics 5300,GPU_Type_HD Graphics 540,GPU_Type_HD Graphics 6000,GPU_Type_HD Graphics 615,GPU_Type_HD Graphics 620,GPU_Type_HD Graphics 630,GPU_Type_Iris Graphics 540,GPU_Type_Iris Graphics 550,GPU_Type_Iris Plus Graphics 640,GPU_Type_Iris Plus Graphics 650,GPU_Type_Iris Pro Graphics,GPU_Type_Mali T860 MP4,GPU_Type_Quadro 3000M,GPU_Type_Quadro M1000M,GPU_Type_Quadro M1200,GPU_Type_Quadro M2000M,GPU_Type_Quadro M2200,GPU_Type_Quadro M2200M,GPU_Type_Quadro M3000M,GPU_Type_Quadro M500M,GPU_Type_Quadro M520M,GPU_Type_Quadro M620,GPU_Type_Quadro M620M,GPU_Type_R17M-M1-70,GPU_Type_R4 Graphics,GPU_Type_Radeon 520,GPU_Type_Radeon 530,GPU_Type_Radeon 540,GPU_Type_Radeon Pro 455,GPU_Type_Radeon Pro 555,GPU_Type_Radeon Pro 560,GPU_Type_Radeon R2,GPU_Type_Radeon R2 Graphics,GPU_Type_Radeon R3,GPU_Type_Radeon R4,GPU_Type_Radeon R4 Graphics,GPU_Type_Radeon R5,GPU_Type_Radeon R5 430,GPU_Type_Radeon R5 520,GPU_Type_Radeon R5 M315,GPU_Type_Radeon R5 M330,GPU_Type_Radeon R5 M420,GPU_Type_Radeon R5 M420X,GPU_Type_Radeon R5 M430,GPU_Type_Radeon R7,GPU_Type_Radeon R7 Graphics,GPU_Type_Radeon R7 M360,GPU_Type_Radeon R7 M365X,GPU_Type_Radeon R7 M440,GPU_Type_Radeon R7 M445,GPU_Type_Radeon R7 M460,GPU_Type_Radeon R7 M465,GPU_Type_Radeon R9 M385,GPU_Type_Radeon RX 540,GPU_Type_Radeon RX 550,GPU_Type_Radeon RX 560,GPU_Type_Radeon RX 580,GPU_Type_UHD Graphics 620
15.6,2.3,4,,2.07,1366,768,0,0,0,0,0,3.0,14.0,1.0,2.0,6.0,0.0,2.0,4.0,0.0,4.0,36.0,2.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15.6,2.4,8,,2.1,1920,1080,1,1,0,0,0,3.0,14.0,1.0,2.0,6.0,0.0,3.0,4.0,0.0,2.0,53.0,3.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.5,2.7,8,,1.36,1920,1080,1,1,0,0,0,5.0,14.0,1.0,2.0,6.0,0.0,3.0,4.0,0.0,4.0,47.0,2.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14.0,2.3,4,,1.75,1366,768,0,1,0,0,0,4.0,14.0,1.0,2.0,6.0,0.0,2.0,4.0,0.0,4.0,36.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15.6,2.5,8,,2.06,3840,2160,1,0,1,1,0,4.0,14.0,1.0,2.0,6.0,0.0,3.0,4.0,0.0,2.0,1.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15.6,2.5,8,,2.36,1366,768,0,0,1,0,0,4.0,14.0,1.0,2.0,6.0,0.0,3.0,4.0,0.0,4.0,47.0,2.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17.3,1.6,12,,2.77,1920,1080,1,0,1,0,0,4.0,14.0,1.0,2.0,6.0,0.0,4.0,4.0,0.0,2.0,7.0,3.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15.6,1.5,4,,2.1,1366,768,0,0,0,0,0,1.0,9.0,1.0,3.0,8.0,0.0,5.0,5.0,0.0,10.0,9.0,3.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15.6,2.8,16,,2.94,1920,1080,1,0,0,0,0,5.0,14.0,1.0,2.0,6.0,0.0,3.0,4.0,0.0,2.0,3.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15.6,1.6,4,,2.2,1920,1080,1,1,0,0,0,4.0,14.0,1.0,2.0,6.0,0.0,4.0,4.0,0.0,11.0,47.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
